MW,Sv,Se,Sp,Si,nAT,nBT,nBM,nDB,nAB,nHM,nHet,totalcharge,nCIR,MCD,NRS,NNRS,D/Dtr05,D/Dtr06,Ges,Hy,NAME,Type
150.14,11.725,17.633,11.648,18.874,17,17,8,2,6,0,3,0,1,0.545,1,1,0,35.505,9,-0.119,2102,fda
150.15,11.208,21.055,11.08,23.123,20,19,1,1,0,0,5,0,0,0,0,0,0,0,10,2.934,524,fda
150.15,11.208,21.055,11.08,23.123,20,20,0,0,0,0,5,0,1,0.6,1,1,0,29.867,10,2.934,1087,fda
150.15,11.208,21.055,11.08,23.123,20,20,0,0,0,0,5,0,1,0.6,1,1,0,29.867,10,2.934,1719,fda
150.15,11.208,21.055,11.08,23.123,20,19,1,1,0,0,5,0,0,0,0,0,0,0,10,2.934,1909,fda
150.15,11.208,21.055,11.08,23.123,20,19,1,1,0,0,5,0,0,0,0,0,0,0,10,2.934,2051,fda
150.15,11.208,21.055,11.08,23.123,20,19,1,1,0,0,5,0,0,0,0,0,0,0,10,2.934,2151,fda
150.16,11.009,21.047,10.875,23.495,20,18,2,2,0,0,6,0,0,0,0,0,0,0,9,6.63,2784,fda
150.228,13.506,15.411,34.233,17.257,16,14,3,3,0,1,3,0,0,0,0,0,0,0,7,-0.636,2872,fda
150.24,14.402,24.513,15.784,28.116,25,25,6,0,6,0,1,0,1,0.545,1,1,0,34.381,10,-0.294,1010,fda
150.24,14.402,24.513,15.784,28.116,25,25,6,0,6,0,1,0,1,0.545,1,1,0,34.381,10,-0.294,1725,fda
150.24,14.402,24.513,15.784,28.116,25,26,2,2,0,0,1,0,3,0.636,1,0.5,0,56.267,10,-0.877,1974,fda
150.24,14.402,24.513,15.784,28.116,25,25,3,3,0,0,1,0,1,0.545,1,1,0,34.381,11,-0.877,2100,fda
150.921,8.256,8.331,19.176,8.386,8,7,1,1,0,3,5,0,0,0,0,0,0,0,6,-0.267,2295,fda
151.28,15.236,27.171,17.097,31.82,28,30,0,0,0,0,1,0,7,0.909,1,0.333,0,75.643,5,0.485,2959,fda
152.13,10.515,16.062,9.932,17.412,15,16,7,2,5,0,6,0,3,0.818,1,0.5,17.623,21.335,11,1.837,953,fda
152.16,12.252,19.516,12.409,21.289,19,19,7,1,6,0,3,0,1,0.545,1,1,0,34.381,11,-0.119,840,fda
152.16,12.252,19.516,12.409,21.289,19,19,7,1,6,0,3,0,1,0.545,1,1,0,34.943,11,-0.119,995,fda
152.16,12.252,19.516,12.409,21.289,19,19,7,1,6,0,3,0,1,0.545,1,1,0,34.943,9,-0.119,1086,fda
152.16,12.252,19.516,12.409,21.289,19,19,7,1,6,0,3,0,1,0.545,1,1,0,35.505,9,0.66,2305,fda
152.17,11.735,22.938,11.841,25.538,22,21,0,0,0,0,5,0,0,0,0,0,0,0,6,4.068,1401,fda
152.2,10.273,14.484,10.671,15.913,14,15,7,2,5,1,5,0,3,0.9,1,0.5,14.765,18.569,10,0.935,107,fda
152.26,14.929,26.396,16.546,30.531,27,28,1,1,0,0,1,0,3,0.636,1,0.5,43.39,25.15,10,-0.877,1030,fda
152.26,14.929,26.396,16.546,30.531,27,28,1,1,0,0,1,0,3,0.636,1,0.5,43.39,25.15,10,-0.877,1379,fda
152.26,14.929,26.396,16.546,30.531,27,26,3,3,0,0,1,0,0,0,0,0,0,0,10,-0.877,1720,fda
152.26,14.929,26.396,16.546,30.531,27,27,2,2,0,0,1,0,1,0.545,1,1,0,34.381,10,-0.877,2311,fda
152.26,14.929,26.396,16.546,30.531,27,28,1,1,0,0,1,0,3,0.636,1,0.5,43.019,26.798,10,-0.877,2370,fda
153.15,11.746,18.735,11.653,20.372,18,18,7,1,6,0,4,0,1,0.545,1,1,0,34.381,11,2.675,273,fda
153.15,11.746,18.735,11.653,20.372,18,18,7,1,6,0,4,0,1,0.545,1,1,0,34.381,11,2.675,1741,fda
154.13,11.44,17.96,11.102,19.083,17,17,7,1,6,0,4,0,1,0.545,1,1,0,34.381,11,1.661,1014,fda
154.13,11.44,17.96,11.102,19.083,17,17,7,1,6,0,4,0,1,0.545,1,1,0,34.381,11,1.661,1079,fda
154.14,11.241,17.953,10.898,19.455,17,17,8,2,6,0,5,0,1,0.545,1,1,0,34.381,11,0.057,350,fda
154.28,15.456,28.28,17.307,32.946,29,30,0,0,0,0,1,0,3,0.636,1,0.5,43.39,25.15,10,-0.294,1069,fda
154.28,15.456,28.28,17.307,32.946,29,30,0,0,0,0,1,0,3,0.636,1,0.5,43.39,25.15,10,-0.294,1080,fda
154.28,15.456,28.28,17.307,32.946,29,28,2,2,0,0,1,0,0,0,0,0,0,0,10,-0.294,1621,fda
154.28,15.456,28.28,17.307,32.946,29,30,0,0,0,0,1,0,3,0.636,1,0.5,47.381,28.381,8,-0.877,1849,fda
154.28,15.456,28.28,17.307,32.946,29,28,2,2,0,0,1,0,0,0,0,0,0,0,10,-0.294,1898,fda
154.28,15.456,28.28,17.307,32.946,29,28,2,2,0,0,1,0,0,0,0,0,0,0,10,-0.877,1933,fda
154.28,15.456,28.28,17.307,32.946,29,29,1,1,0,0,1,0,1,0.545,1,1,0,34.705,10,-0.294,1935,fda
